"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEMODEL";"SPICEPREFIX";
"1";"";"C-EUC1206";"C1206";"C2";"CAPACITOR, European symbol";"";"";"";"";"";"";
"5";".47";"C-EUC1206";"C1206";"C5, C6, C7, C9, C10";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";".68";"C-EU025-024X044";"C025-024X044";"C12";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";".68";"C-EUC1206";"C1206";"C4";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"0.1";"C-EUC1206";"C1206";"C3";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"0.47";"C-EUC1206";"C1206";"C8";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"10";"RR4527";"R4527";"R3";"RESISTOR, European symbol";"";"";"";"";"NONE";"R";
"1";"100";"CPOL-EU153CLV-0807";"153CLV-0807";"C11";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"10k";"RR4527";"R4527";"R5";"RESISTOR, European symbol";"";"";"";"";"NONE";"R";
"2";"1k";"RR4527";"R4527";"R6, R7";"RESISTOR, European symbol";"";"";"";"";"NONE";"R";
"1";"2k";"R-EU_0207/7";"0207/7";"R11";"RESISTOR, European symbol";"";"";"";"";"";"";
"2";"2k";"RR4527";"R4527";"R8, R9";"RESISTOR, European symbol";"";"";"";"";"NONE";"R";
"1";"3k";"SMT-WAV";"SMT-WAV";"R10";"SMD SHUNT RESISTOR";"";"";"unknown";"unknown";"";"";
"1";"4 MHz";"XTAL";"Q";"Q1";"CRYSTAL";"";"";"";"";"";"";
"2";"500";"RR4527";"R4527";"R1, R2";"RESISTOR, European symbol";"";"";"";"";"NONE";"R";
"1";"5k";"RR4527";"R4527";"R4";"RESISTOR, European symbol";"";"";"";"";"NONE";"R";
"2";"6ESRM-P";"6ESRM-P";"6ESRM-P";"X1, X2";"AC Connector";"TYCO ELECTRONICS";"6ESRM-P";"unknown";"87F1821";"";"";
"1";"CS4560ASSOP24";"CS4560ASSOP24";"SSOP24";"U$1";"";"";"";"";"";"";"";
